RESERVED|BOOK|3|JAVA-101|Java 101 - 3rd Edition|Tyler Welty|3|-1|-1
AVAILABLE|MAGAZINE|6|LIB-JNL|Library Journal|Library|5|-1|-1
BORROWED|BOOK|8|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|1554879961356|-1
BORROWED|BOOK|9|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|1555090002397|-1
BORROWED|BOOK|10|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|1555090001151|-1
AVAILABLE|MAGAZINE|11|ID|Titlem|Author|0|-1|-1
AVAILABLE|MAGAZINE|12|ID|Title|Author|0|-1|-1
ON_HOLD|MAGAZINE|13|ID|Title|Author|7|-1|-1
AVAILABLE|MAGAZINE|14|ID|Title|Author|7|-1|-1
ON_ORDER|ALL|15|ID|Title|Author|0|-1|-1
AVAILABLE|BOOK|16|newbook|book|Author|1|-1|-1
BORROWED|BOOK|9|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|1555090002397|-1
BORROWED|BOOK|10|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|1555090001151|-1
AVAILABLE|BOOK|1|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|-1|-1
BORROWED|BOOK|2|ECON-101|Economy 101 - 2nd Edition|Liam Scott|2|1555090003716|-1
AVAILABLE|BOOK|23|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|-1|-1
AVAILABLE|BOOK|24|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|-1|-1
AVAILABLE|BOOK|25|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|-1|-1
AVAILABLE|BOOK|26|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|-1|-1
AVAILABLE|MAGAZINE|27|ID|Title|Author|0|-1|-1
AVAILABLE|BOOK|30|ID|book|sohaib|1|-1|-1
AVAILABLE|BOOK|31|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|-1|-1
AVAILABLE|BOOK|32|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|-1|-1
AVAILABLE|BOOK|33|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|-1|-1
AVAILABLE|BOOK|34|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|-1|-1
AVAILABLE|BOOK|35|ASTR-101|Astronomy 101 - 1st Edition|Mark Davis|1|-1|-1
AVAILABLE|EBOOK|36|ID|Title|Author|0|-1|-1
AVAILABLE|EBOOK|37|ID|Title|Author|1|-1|-1
AVAILABLE|MAGAZINE|38|ID|Title|Author|7|-1|-1
AVAILABLE|MAGAZINE|39|ID|Title|Author|7|-1|-1
AVAILABLE|MAGAZINE|40|ID|Title|Author|7|-1|-1
AVAILABLE|MAGAZINE|41|ID|Title|Author|7|-1|-1
AVAILABLE|MAGAZINE|42|ID|Title|Author|7|-1|-1
BORROWED|BOOK|43|ECON-101|Economy 101 - 2nd Edition|Liam Scott|2|1555090006150|-1
AVAILABLE|BOOK|44|ECON-101|Economy 101 - 2nd Edition|Liam Scott|2|-1|-1
AVAILABLE|BOOK|45|ECON-101|Economy 101 - 2nd Edition|Liam Scott|2|-1|-1
AVAILABLE|BOOK|46|ECON-101|Economy 101 - 2nd Edition|Liam Scott|2|-1|-1
AVAILABLE|BOOK|47|ECON-101|Economy 101 - 2nd Edition|Liam Scott|2|-1|-1
AVAILABLE|BOOK|48|ECON-101|Economy 101 - 2nd Edition|Liam Scott|2|-1|-1
AVAILABLE|EBOOK|49|ID|book|Author|1|-1|-1
RESERVED|EBOOK|50|newbook|book|me|1|-1|-1
AVAILABLE|BOOK|51|ECON-101|Economy 101 - 2nd Edition|Liam Scott|2|-1|-1
AVAILABLE|BOOK|52|ECON-101|Economy 101 - 2nd Edition|Liam Scott|2|-1|-1
AVAILABLE|BOOK|53|ECON-101|Economy 101 - 2nd Edition|Liam Scott|2|-1|-1
AVAILABLE|EBOOK|54|newebook|ebook|sohaib|1|-1|-1
AVAILABLE|MAGAZINE|55|SICK-MAGAZINE|Super Sick Magazine|Magazine author|1|-1|-1
